claim_id,Logistic Regression,Random Forest,XGBoost,All_Models
1,0,0,0,False
2,0,0,0,False
10,0,0,0,False
26,0,1,1,False
33,0,0,0,False
43,0,0,0,False
53,0,0,0,False
58,0,0,0,False
62,0,0,0,False
64,0,0,0,False
66,1,0,1,False
69,0,0,1,False
71,0,0,1,False
73,0,0,0,False
78,0,0,0,False
79,0,0,0,False
87,0,0,0,False
97,0,0,0,False
98,0,0,0,False
102,0,0,1,False
111,0,0,0,False
116,0,0,0,False
117,0,0,0,False
122,0,1,1,False
126,0,0,0,False
134,0,0,0,False
136,1,1,1,True
139,0,0,0,False
140,0,0,0,False
143,0,0,0,False
145,0,0,0,False
150,1,1,1,True
151,0,0,0,False
152,0,0,0,False
159,0,0,0,False
161,0,0,0,False
164,0,0,0,False
171,0,0,0,False
173,0,0,0,False
175,0,0,0,False
177,0,0,0,False
181,0,0,0,False
188,0,0,0,False
194,0,0,0,False
196,0,0,0,False
210,0,0,0,False
222,0,0,0,False
230,0,0,0,False
240,0,0,0,False
250,1,0,1,False
256,0,1,0,False
259,0,0,0,False
261,0,0,0,False
263,0,0,0,False
265,0,0,0,False
266,0,0,0,False
269,0,0,1,False
279,0,0,0,False
291,0,0,1,False
297,0,0,0,False
300,1,1,1,True
312,0,0,0,False
320,0,0,1,False
324,0,0,0,False
325,0,0,1,False
329,0,0,1,False
330,0,0,1,False
341,1,1,1,True
349,1,1,1,True
355,0,0,0,False
360,0,0,0,False
365,0,0,0,False
376,0,0,0,False
383,0,0,0,False
396,0,0,0,False
397,0,1,0,False
398,0,0,0,False
406,0,0,0,False
407,0,0,0,False
409,0,0,0,False
417,0,0,0,False
419,0,0,0,False
420,0,0,0,False
424,0,0,0,False
425,0,0,1,False
426,0,0,0,False
433,1,0,1,False
435,0,0,1,False
437,1,0,0,False
445,0,0,0,False
450,1,0,0,False
464,0,0,0,False
466,1,0,1,False
478,0,1,0,False
481,0,1,0,False
494,0,0,0,False
495,1,1,1,True
501,0,0,0,False
505,1,1,1,True
510,0,0,0,False
511,0,0,0,False
518,0,0,0,False
519,0,0,0,False
521,0,0,0,False
529,0,0,0,False
534,0,0,0,False
536,0,0,1,False
543,1,0,0,False
550,0,0,0,False
558,0,0,0,False
561,0,0,0,False
566,0,0,0,False
571,0,0,0,False
577,0,0,0,False
580,0,0,0,False
587,0,0,0,False
590,0,0,0,False
592,0,0,1,False
597,0,0,0,False
598,1,0,1,False
604,0,0,0,False
610,0,0,0,False
611,0,0,0,False
616,0,0,0,False
619,0,0,0,False
621,0,0,1,False
622,0,0,0,False
629,1,1,1,True
631,0,0,0,False
639,1,1,1,True
642,0,0,0,False
